CampusKey,Timestamp,ApparentTemperature,AirTemperature,DewPointTemperature,RelativeHumidity,WindSpeed,WindDirection
1,2021-01-01 15:15:00,27.27333333,28.39333333,13.92,41.13333333,14.45333333,211.6
1,2021-01-01 15:30:00,26.98666667,28.48666667,13.45333333,39.66666667,13.9,154.33333330000005
1,2021-01-01 15:45:00,27.02666667,28.58,13.30666667,39.06666667,16.82,161.93333330000004
1,2021-01-01 16:00:00,27.51333333,28.85333333,13.04,37.8,16.06,152.4666667
1,2021-01-01 16:15:00,26.55333333,28.01333333,12.82,39.13333333,18.06,152.93333330000004
1,2021-01-01 16:30:00,27.44,28.97333333,13.37333333,38.4,23.32,152.2
1,2021-01-01 16:45:00,26.92666667,28.53333333,13.18666667,38.93333333,21.22,156.6
1,2021-01-01 17:00:00,28.47333333,29.10666667,13.5,38.4,21.96,121.6666667
1,2021-01-01 17:15:00,28.78,29.62666667,13.02,36.13333333,17.76,151.8
1,2021-01-01 17:30:00,27.76666667,29.32666667,12.23333333,34.93333333,26.02666667,120.46666670000002
1,2021-01-01 17:45:00,25.98,27.88,12.76666667,39.26666667,25.18,140.93333330000004
1,2021-01-01 18:00:00,26.43333333,27.6,13.78,42.66666667,23.96,143.6
1,2021-01-01 18:15:00,26.73333333,27.64,13.04666667,40.53333333,23.92,126.8666667
1,2021-01-01 18:30:00,26.33333333,27.48666667,11.86,37.93333333,25.42,88.73333333
1,2021-01-01 18:45:00,25.55333333,27.15333333,12.04,39.2,20.74,99.6
1,2021-01-01 19:00:00,25.39333333,26.8,12.51333333,41.2,25.9,122.8
1,2021-01-01 19:15:00,24.67333333,26.58666667,11.06,37.93333333,31.31333333,135.0
1,2021-01-01 19:30:00,24.86666667,26.29333333,11.52,39.8,34.08666667,129.86666670000002
1,2021-01-01 19:45:00,25.27333333,26.04,11.54,40.46666667,37.02,104.6666667
1,2021-01-01 20:00:00,24.98666667,25.79333333,11.70666667,41.46666667,35.72666667,124.53333329999998
1,2021-01-01 20:15:00,25.42666667,25.42666667,11.9,42.93333333,32.44666667,126.1333333
1,2021-01-01 20:30:00,25.51333333,25.04666667,12.07333333,44.33333333,33.79333333,284.4
1,2021-01-01 20:45:00,25.28666667,24.59333333,12.21333333,46.0,30.74,252.2
1,2021-01-01 21:00:00,23.88,24.08,12.45333333,48.13333333,35.17333333,139.93333330000002
1,2021-01-01 21:15:00,22.91333333,23.33333333,13.13333333,52.66666667,39.49333333,153.0
1,2021-01-01 21:30:00,22.82,23.19333333,14.13333333,56.73333333,40.74,155.6
1,2021-01-01 21:45:00,22.7,23.01333333,14.80666667,59.86666667,46.76,156.66666669999995
1,2021-01-01 22:00:00,22.77333333,22.8,15.3,62.66666667,45.88,158.93333330000004
1,2021-01-01 22:15:00,22.6,22.48666667,15.4,64.26666667,50.82,116.9333333
1,2021-01-01 22:30:00,22.60666667,22.11333333,15.64666667,66.8,45.28,93.86666667
1,2021-01-01 22:45:00,22.44666667,21.88,15.76,68.26666667,50.84,92.26666667
1,2021-01-01 23:00:00,21.88,21.78,15.68,68.33333333,9.4,89.6
1,2021-01-01 23:15:00,21.88666667,21.46666667,15.46666667,68.66666667,7.546666667,90.6
1,2021-01-01 23:30:00,21.89333333,21.16,15.35333333,69.46666667,3.24,85.33333333
1,2021-01-01 23:45:00,21.76666667,20.97333333,15.27333333,70.0,1.8,92.8
1,2021-01-02 00:00:00,21.2,20.72,15.3,70.93333333,5.04,71.46666667
1,2021-01-02 00:15:00,20.56666667,20.42,15.19333333,71.86666667,6.426666667,69.8
1,2021-01-02 00:30:00,19.98666667,20.09333333,15.09333333,73.0,14.02,68.8
1,2021-01-02 00:45:00,19.49333333,19.74,15.02,74.4,17.94,60.2
1,2021-01-02 01:00:00,19.13333333,19.49333333,14.94,74.93333333,11.32,57.66666667
1,2021-01-02 01:15:00,19.15333333,19.10666667,14.87333333,76.33333333,11.68,57.73333333
1,2021-01-02 01:30:00,19.03333333,19.13333333,14.91333333,76.4,14.08,63.66666667
1,2021-01-02 01:45:00,18.52,19.03333333,14.68,75.73333333,10.72,67.26666667
1,2021-01-02 02:00:00,18.27333333,18.95333333,14.52,75.33333333,53.85333333,63.33333333
1,2021-01-02 02:15:00,18.5,18.76,14.47333333,76.06666667,56.4,57.86666667
1,2021-01-02 02:30:00,18.51333333,18.6,14.52666667,77.13333333,52.79333333,58.4
1,2021-01-02 02:45:00,18.40666667,18.46,14.53333333,77.86666667,52.99333333,65.13333333
1,2021-01-02 03:00:00,18.92666667,18.26666667,14.79333333,80.13333333,54.81333333,56.46666667
1,2021-01-02 03:15:00,19.66666667,18.12,14.83333333,81.06666667,55.50666667,53.06666667
1,2021-01-02 03:30:00,18.99333333,17.80666667,14.90666667,83.0,55.0,52.8
1,2021-01-02 03:45:00,18.20666667,17.41333333,15.07333333,86.2,52.39333333,54.6
1,2021-01-02 04:00:00,17.17333333,17.62,15.18,85.8,53.63333333,62.6
1,2021-01-02 04:15:00,17.16,17.60666667,15.04,85.13333333,53.89333333,56.93333333
1,2021-01-02 04:30:00,17.39333333,17.6,15.0,85.0,56.08,57.46666667
1,2021-01-02 04:45:00,17.20666667,17.68,14.98666667,84.26666667,52.32,62.86666667
1,2021-01-02 05:00:00,17.47333333,17.62,14.95333333,84.26666667,50.12666667,65.66666667
